Timestamp,Finger1 Peak Force,Finger2 Peak Force,Finger3 Peak Force,Finger4 Peak Force,Finger5 Peak Force,Finger6 Peak Force,Finger1 Final Force,Finger2 Final Force,Finger3 Final Force,Finger4 Final Force,Finger5 Final Force,Finger6 Final Force,Finger1 Final Angle,Finger2 Final Angle,Finger3 Final Angle,Finger4 Final Angle,Finger5 Final Angle,Finger6 Final Angle,Finger1 Time,Finger2 Time,Finger3 Time,Finger4 Time,Finger5 Time,Finger6 Time
2025-09-16 12:48:04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-16 12:48:27,70,3,32,36,1,46,70,-7,27,35,-5,17,513,517,506,519,524,474,1.6093392372131348,1.6093482971191406,1.609354019165039,1.609358549118042,1.609363079071045,1.6093666553497314
2025-09-16 12:50:37,67,3,32,35,1,50,67,-7,29,35,-8,15,508,515,507,519,550,467,1.6103127002716064,1.6103227138519287,1.6103286743164062,1.6103334426879883,1.6103379726409912,1.610342025756836
2025-09-16 12:54:26,87,0.0,30,329,360,318,87,-22,8,329,360,318,263,463,244,253,190,240,1.6090185642242432,1.6090247631072998,1.6090283393859863,1.6090328693389893,1.6090366840362549,1.609039545059204
2025-09-16 12:54:55,81,2,29,286,238,281,81,-2,2,286,238,281,241,224,212,227,226,228,1.6103954315185547,1.6104068756103516,1.610412359237671,1.6104178428649902,1.6104226112365723,1.6104261875152588
2025-09-16 12:55:47,89,0.0,26,297,206,156,89,-1,5,297,206,156,223,213,212,436,184,210,1.6092886924743652,1.6092994213104248,1.6093058586120605,1.6093125343322754,1.609318733215332,1.609323501586914
2025-09-16 12:56:14,86,7,29,202,173,200,86,-10,5,202,173,200,238,224,214,238,227,235,1.6097581386566162,1.6097664833068848,1.609771966934204,1.6097769737243652,1.6097815036773682,1.609785556793213
2025-09-16 12:57:37,86,7,29,219,165,217,86,-10,5,219,165,217,240,232,211,240,230,230,1.609898567199707,1.6099035739898682,1.6099071502685547,1.609910488128662,1.6099131107330322,1.6099152565002441
2025-09-16 12:58:04,87,0.0,30,113,61,115,87,-10,15,113,61,115,225,214,425,237,261,240,1.6100249290466309,1.6100306510925293,1.6100342273712158,1.610036849975586,1.6100397109985352,1.6100420951843262
2025-09-16 13:01:10,89,6,25,324,276,325,89,-9,12,324,276,325,225,213,533,242,230,214,1.60945725440979,1.6094653606414795,1.6094701290130615,1.609476089477539,1.6094813346862793,1.6094858646392822
2025-09-16 13:01:37,87,5,29,187,146,189,87,-11,10,187,146,189,236,222,232,221,231,229,1.6092548370361328,1.609262228012085,1.6092665195465088,1.6092703342437744,1.609273910522461,1.609276533126831
2025-09-16 13:02:28,92,5,27,419,400,410,92,1,12,419,400,410,222,210,407,236,205,208,1.6108314990997314,1.6108410358428955,1.6108458042144775,1.610851764678955,1.6108558177947998,1.6108593940734863
2025-09-16 13:02:59,86,7,30,217,150,220,86,-11,3,217,150,220,243,245,217,241,244,222,1.6101410388946533,1.610149621963501,1.6101553440093994,1.6101601123809814,1.6101644039154053,1.610168218612671
2025-09-16 13:03:27,90,3,25,306,260,301,90,-17,3,306,260,301,237,568,230,248,234,212,1.6095783710479736,1.6095845699310303,1.6095895767211914,1.609593152999878,1.6095969676971436,1.6096000671386719
2025-09-16 13:03:51,87,6,27,21,17,43,87,-21,7,21,17,35,241,351,216,649,234,233,1.6102325916290283,1.6102418899536133,1.6102468967437744,1.610250473022461,1.6102535724639893,1.6102559566497803
2025-09-16 13:04:45,83,2,26,65,132,139,83,-10,10,35,132,139,249,237,230,411,243,230,1.6095407009124756,1.6095497608184814,1.6095550060272217,1.6095597743988037,1.6095659732818604,1.609569787979126
2025-09-16 13:05:03,58,223,120,263,233,250,55,223,120,263,233,250,520,247,208,236,240,232,1.610689401626587,1.6107192039489746,1.6107263565063477,1.6107327938079834,1.610738754272461,1.6107428073883057
2025-09-16 13:05:24,86,7,121,192,155,193,86,-9,121,192,155,193,252,253,258,250,229,247,1.6097567081451416,1.6097652912139893,1.6097712516784668,1.6097755432128906,1.6097798347473145,1.609783411026001
2025-09-16 13:05:46,87,13,321,495,503,512,87,13,321,495,503,512,232,202,240,249,196,199,1.6088862419128418,1.608891487121582,1.6088953018188477,1.6088988780975342,1.6089022159576416,1.6089048385620117
2025-09-16 13:06:08,83,6,88,180,153,189,83,-10,88,180,153,189,238,245,249,262,244,245,1.6107227802276611,1.610732078552246,1.610738754272461,1.6107442378997803,1.6107487678527832,1.610752820968628
2025-09-16 13:06:38,80,7,248,25,3,46,80,-11,248,21,1,46,263,226,236,599,224,228,1.6088390350341797,1.60884428024292,1.6088480949401855,1.6088511943817139,1.608854055404663,1.6088566780090332
2025-09-16 13:07:16,87,107,24,412,457,443,87,107,10,412,457,443,224,226,402,238,192,204,1.610672950744629,1.6106789112091064,1.6106822490692139,1.6106858253479004,1.610689401626587,1.6106922626495361
2025-09-16 13:08:32,87,147,202,265,300,354,87,147,202,265,300,354,235,238,209,221,226,230,1.6098971366882324,1.609910011291504,1.609917402267456,1.6099252700805664,1.6099326610565186,1.6099400520324707
2025-09-16 13:09:00,173,525,579,500,488,592,173,525,579,500,488,362,159,216,204,365,199,206,1.6098871231079102,1.609896183013916,1.609900951385498,1.60990571975708,1.6099097728729248,1.5091798305511475
2025-09-16 13:11:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-16 13:12:29,1113,413,718,325,496,757,1113,413,718,325,496,757,147,219,204,371,222,226,0.10067629814147949,0.10068607330322266,0.10069131851196289,0.10069608688354492,0.10070013999938965,0.10070371627807617
2025-09-16 13:12:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-16 13:13:07,86,0.0,745,21,148,364,66,-23,745,14,148,364,265,267,204,241,172,232,1.610142707824707,1.6101531982421875,0.10070562362670898,1.6101624965667725,1.6101670265197754,0.1007223129272461
2025-09-16 13:13:19,69,0.0,36,260,165,164,69,-30,36,260,165,164,277,514,274,302,298,279,1.610358476638794,1.6103646755218506,1.610368013381958,1.6103711128234863,1.6103734970092773,1.6103756427764893
2025-09-16 13:13:40,143,22,26,250,271,220,143,22,6,250,271,220,227,213,252,366,219,210,1.609581708908081,1.6095869541168213,1.6095893383026123,1.6095917224884033,1.6095938682556152,1.609595775604248
2025-09-16 13:13:56,109,5,65,287,200,284,109,-19,65,287,200,284,232,256,184,210,239,230,1.6099302768707275,1.609940767288208,1.6099472045898438,1.609952449798584,1.6099567413330078,1.6099605560302734
2025-09-16 13:14:29,87,3,27,330,312,309,87,-1,5,330,312,309,245,222,209,238,226,218,1.6099514961242676,1.6099560260772705,1.6099588871002197,1.609961748123169,1.609964370727539,1.609966516494751
2025-09-16 13:14:49,90,7,30,395,410,373,90,-21,3,395,410,373,232,500,208,248,198,214,1.6096351146697998,1.6096432209014893,1.6096477508544922,1.6096527576446533,1.6096563339233398,1.609659194946289
2025-09-16 13:15:12,81,7,30,230,176,217,70,-11,16,230,176,217,289,233,438,236,239,235,1.6087603569030762,1.6087651252746582,1.6087675094604492,1.6087698936462402,1.608771562576294,1.6087734699249268
2025-09-16 13:15:32,56,7,27,182,124,176,56,-10,5,182,124,176,548,212,208,235,240,242,1.6103153228759766,1.6103253364562988,1.6103310585021973,1.6103358268737793,1.610339879989624,1.6103439331054688
2025-09-16 13:16:18,1286,709,462,531,785,840,1286,709,462,531,785,840,146,166,101,202,188,208,0.10053205490112305,0.10053682327270508,0.1005392074584961,0.1005411148071289,0.10054349899291992,0.10054540634155273
2025-09-16 13:16:42,515,867,31,35,403,545,515,867,7,18,403,545,159,166,162,165,201,222,0.1006770133972168,0.10068607330322266,1.6110270023345947,1.6110317707061768,0.10070300102233887,0.1007072925567627
2025-09-18 13:57:17,0.0,40,34,0.0,0.0,0.0,-6,40,34,-3,-7,-1,848,851,851,856,854,836,1.6109619140625,1.6109709739685059,1.610976219177246,1.61098051071167,1.6109845638275146,1.6109888553619385
